Unnamed: 0,Drug,Recommendation,Rationale,Creatinine Clearance,Condition,ExStandardized
113,Estrogen/Medroxyprogesterone,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",,,ESTROGENS/MEDROXYPROGESTERONE
114,Estropipate,Avoid unless using intravaginally,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",,,ESTROPIPATE
115,Estrogen,Avoid unless using intravaginally,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",,,CONJUGATED ESTROGENS
116,Estradiol,Avoid unless using intravaginally,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",,,ESTRADIOL
117,Growth Hormone,Avoid unless diagnosed with growth hormone deficiency due to established etiology,"Impact on body composition is small and associated with edema, arthralgia, carpal tunnel syndrome, gynecomastia, impaired fasting glucose",,,PEGVISOMANT
118,Insulin Lispro,Avoid unless using with concurrent long-acting insulin,"Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting
Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin",,,INSULIN LISPRO
119,Insulin,Avoid unless using with concurrent long-acting insulin,"Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting
Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin",,,INULIN
120,Insulin Aspart,Avoid unless using with concurrent long-acting insulin,"Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting
Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin",,,INSULIN ASPART
121,Insulin Glulisine,Avoid unless using with concurrent long-acting insulin,"Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting
Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin",,,INSULIN GLULISINE
122,Megestrol ,Avoid,Minimal effect on weight; increases risk of thrombotic events and possibly death in older adults,,,MEGESTROL
123,Chlorpropamide,Avoid,Prolonged half-life in older adults; can cause prolonged hypoglycemia; causes SIADH,,,CHLORPROPAMIDE
124,Glimepiride,Avoid,Higher risk of severe prolonged hypoglycemia in older adults,,,GLIMEPIRIDE
125,Glibenclamide,Avoid,Higher risk of severe prolonged hypoglycemia in older adults,,,GLYBURIDE
126,Glyburide,Avoid,Higher risk of severe prolonged hypoglycemia in older adults,,,GLYBURIDE
127,Metoclopramide,Avoid unless used for gastroparesis (use not to exceed 12 weeks),"Can cause extrapyramidal effects, including tardive dyskinesia; risk may be greater in frail older adults and with prolonged exposure",,,METOCLOPRAMIDE
128,Mineral oil (oral),Avoid,Potential for aspiration and adverse effects; safer alternatives available,,,MINERAL OIL
129,Omeprazole,"Avoid scheduled use for >8 weeks unless for high-risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2-receptor antagonists)",Risk of Clostridium difficile infection and bone loss and fractures,,,OMEPRAZOLE
130,Lansoprazole,"Avoid scheduled use for >8 weeks unless for high-risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2-receptor antagonists)",Risk of Clostridium difficile infection and bone loss and fractures,,,LANSOPRAZOLE
131,Pantoprazole,"Avoid scheduled use for >8 weeks unless for high-risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2-receptor antagonists)",Risk of Clostridium difficile infection and bone loss and fractures,,,PANTOPRAZOLE
132,Rabeprazole,"Avoid scheduled use for >8 weeks unless for high-risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2-receptor antagonists)",Risk of Clostridium difficile infection and bone loss and fractures,,,RABEPRAZOLE
133,Esomeprazole,"Avoid scheduled use for >8 weeks unless for high-risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2-receptor antagonists)",Risk of Clostridium difficile infection and bone loss and fractures,,,ESOMEPRAZOLE
134,Dexlansoprazole,"Avoid scheduled use for >8 weeks unless for high-risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2-receptor antagonists)",Risk of Clostridium difficile infection and bone loss and fractures,,,LANSOPRAZOLE
135,Meperidine,Avoid,"Oral analgesic not effective in dosages commonly used; may have higher risk of neurotoxicity, including delirium, than other opioids; safer alternatives available",,,MEPERIDINE
136,Aspirin (>325 mg/day),"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related",,,ACETYLSALICYLIC ACID
137,Diclofenac,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related",,,DICLOFENAC
138,Diflunisal,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related",,,DIFLUNISAL
139,Etodolac,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related",,,ETODOLAC
