,DrugName,ActiveIngredient
448,NUMORPHAN,OXYMORPHONE HYDROCHLORIDE
449,KONAKION,PHYTONADIONE
450,OXYLONE,FLUOROMETHOLONE
451,PROLIXIN,FLUPHENAZINE HYDROCHLORIDE
452,DEPO-MEDROL,METHYLPREDNISOLONE ACETATE
453,ATHROMBIN,WARFARIN SODIUM
454,ATHROMBIN-K,WARFARIN POTASSIUM
455,SODIUM PHOSPHATE P 32,SODIUM PHOSPHATE P-32
456,SOMA,CARISOPRODOL
457,ESIDRIX,HYDROCHLOROTHIAZIDE
458,MELLARIL,THIORIDAZINE HYDROCHLORIDE
459,DISOMER,DEXBROMPHENIRAMINE MALEATE
460,HYDRODIURIL,HYDROCHLOROTHIAZIDE
461,PRESAMINE,IMIPRAMINE HYDROCHLORIDE
462,TOFRANIL,IMIPRAMINE HYDROCHLORIDE
463,PROVERA,MEDROXYPROGESTERONE ACETATE
464,SOLU-MEDROL,METHYLPREDNISOLONE SODIUM SUCCINATE
465,HUMORSOL,DEMECARIUM BROMIDE
466,SERPASIL-ESIDRIX #1,HYDROCHLOROTHIAZIDE; RESERPINE
467,SERPASIL-ESIDRIX #2,HYDROCHLOROTHIAZIDE; RESERPINE
468,DURABOLIN,NANDROLONE PHENPROPIONATE
469,NARDIL,PHENELZINE SULFATE
470,VIRAC REX,LAPYRIUM CHLORIDE; UNDECOYLIUM CHLORIDE IODINE COMPLEX
471,HISPRIL,DIPHENYLPYRALINE HYDROCHLORIDE
472,SALURON,HYDROFLUMETHIAZIDE
473,TACARYL,METHDILAZINE HYDROCHLORIDE
474,TACARYL,METHDILAZINE
475,HYDROPRES 25,HYDROCHLOROTHIAZIDE; RESERPINE
476,HYDROPRES 50,HYDROCHLOROTHIAZIDE; RESERPINE
477,MARPLAN,ISOCARBOXAZID
478,PHOSPHOLINE IODIDE,ECHOTHIOPHATE IODIDE
479,POVAN,PYRVINIUM PAMOATE
480,ORETIC,HYDROCHLOROTHIAZIDE
481,DECADRON,DEXAMETHASONE SODIUM PHOSPHATE
482,AKINETON,BIPERIDEN HYDROCHLORIDE
483,APRESOLINE-ESIDRIX,HYDRALAZINE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE
484,PERMITIL,FLUPHENAZINE HYDROCHLORIDE
485,KENALOG-10,TRIAMCINOLONE ACETONIDE
486,HYDROCORTONE,HYDROCORTISONE SODIUM PHOSPHATE
487,ISORDIL,ISOSORBIDE DINITRATE
488,ORINASE DIAGNOSTIC,TOLBUTAMIDE SODIUM
489,KENALOG IN ORABASE,TRIAMCINOLONE ACETONIDE
490,MEDIHALER ERGOTAMINE,ERGOTAMINE TARTRATE
491,MYDRIACYL,TROPICAMIDE
492,GLUCAGON,GLUCAGON HYDROCHLORIDE
493,CARBOCAINE W/ NEO-COBEFRIN,LEVONORDEFRIN; MEPIVACAINE HYDROCHLORIDE
494,CARBOCAINE,MEPIVACAINE HYDROCHLORIDE
495,ULO,CHLOPHEDIANOL HYDROCHLORIDE
496,FOVANE,BENZTHIAZIDE
497,URESE,BENZTHIAZIDE
498,CYTOXAN,CYCLOPHOSPHAMIDE
499,CYTOXAN (LYOPHILIZED),CYCLOPHOSPHAMIDE
500,LYOPHILIZED CYTOXAN,CYCLOPHOSPHAMIDE
501,ORETICYL 25,DESERPIDINE; HYDROCHLOROTHIAZIDE
502,ORETICYL FORTE,DESERPIDINE; HYDROCHLOROTHIAZIDE
503,ORETICYL 50,DESERPIDINE; HYDROCHLOROTHIAZIDE
504,ALDACTONE,SPIRONOLACTONE
505,UREAPHIL,UREA
506,RELA,CARISOPRODOL
507,NORFLEX,ORPHENADRINE CITRATE
508,NATURETIN-2.5,BENDROFLUMETHIAZIDE
509,NATURETIN-5,BENDROFLUMETHIAZIDE
510,NATURETIN-10,BENDROFLUMETHIAZIDE
511,VOSOL,"ACETIC ACID, GLACIAL"
512,NORLUTATE,NORETHINDRONE ACETATE
513,SER-AP-ES,HYDRALAZINE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE; RESERPINE
514,FLUOROURACIL,FLUOROURACIL
515,AQUAMEPHYTON,PHYTONADIONE
516,PLEGINE,PHENDIMETRAZINE TARTRATE
517,LIBRIUM,CHLORDIAZEPOXIDE HYDROCHLORIDE
518,TINDAL,ACETOPHENAZINE MALEATE
519,ALPHADROL,FLUPREDNISOLONE
520,NAQUA,TRICHLORMETHIAZIDE
521,NAQUIVAL,RESERPINE; TRICHLORMETHIAZIDE
522,ROBAXISAL,ASPIRIN; METHOCARBAMOL
523,HYGROTON,CHLORTHALIDONE
524,SYNTOCINON,OXYTOCIN
525,CHOLOXIN,DEXTROTHYROXINE SODIUM
526,ISMELIN,GUANETHIDINE MONOSULFATE
527,BRONKOMETER,ISOETHARINE MESYLATE
528,BRONKOSOL,ISOETHARINE HYDROCHLORIDE
529,PARNATE,TRANYLCYPROMINE SULFATE
530,SALUTENSIN,HYDROFLUMETHIAZIDE; RESERPINE
531,SALUTENSIN-DEMI,HYDROFLUMETHIAZIDE; RESERPINE
532,SOMA COMPOUND,ASPIRIN; CARISOPRODOL
533,SOMA COMPOUND W/ CODEINE,ASPIRIN; CARISOPRODOL; CODEINE PHOSPHATE
534,ZARONTIN,ETHOSUXIMIDE
535,LARGON,PROPIOMAZINE HYDROCHLORIDE
536,COLBENEMID,COLCHICINE; PROBENECID
537,DISOPHROL,DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE
538,IVADANTIN,NITROFURANTOIN SODIUM
539,AKINETON,BIPERIDEN LACTATE
540,MEDROL ACETATE,METHYLPREDNISOLONE ACETATE
541,DIDREX,BENZPHETAMINE HYDROCHLORIDE
542,THIOGUANINE,THIOGUANINE
543,LOMOTIL,ATROPINE SULFATE; DIPHENOXYLATE HYDROCHLORIDE
544,AKRINOL,ACRISORCIN
545,TARACTAN,CHLORPROTHIXENE
546,EXNA,BENZTHIAZIDE
547,KENACORT,TRIAMCINOLONE DIACETATE
548,SANSERT,METHYSERGIDE MALEATE
549,ENDURON,METHYCLOTHIAZIDE
550,DEPO-PROVERA,MEDROXYPROGESTERONE ACETATE
551,TANDEARIL,OXYPHENBUTAZONE
552,TENUATE DOSPAN,DIETHYLPROPION HYDROCHLORIDE
553,ACTIFED W/ CODEINE,CODEINE PHOSPHATE; PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE
554,OPHTHETIC,PROPARACAINE HYDROCHLORIDE
555,METAHYDRIN,TRICHLORMETHIAZIDE
556,ALDACTAZIDE,HYDROCHLOROTHIAZIDE; SPIRONOLACTONE
557,FLAGYL,METRONIDAZOLE
558,PERIACTIN,CYPROHEPTADINE HYDROCHLORIDE
559,CELESTONE,BETAMETHASONE
560,VELBAN,VINBLASTINE SULFATE
561,HEXADROL,DEXAMETHASONE
562,TOLBUTAMIDE,TOLBUTAMIDE
563,TRISORALEN,TRIOXSALEN
564,ELAVIL,AMITRIPTYLINE HYDROCHLORIDE
565,DIUTENSEN-R,METHYCLOTHIAZIDE; RESERPINE
566,GANTANOL,SULFAMETHOXAZOLE
567,GANTANOL-DS,SULFAMETHOXAZOLE
568,ORTHO-NOVUM 10-21,MESTRANOL; NORETHINDRONE
569,ORTHO-NOVUM 1/50 21,MESTRANOL; NORETHINDRONE
570,ORTHO-NOVUM 2-21,MESTRANOL; NORETHINDRONE
571,DECASPRAY,DEXAMETHASONE
572,WILPO,PHENTERMINE HYDROCHLORIDE
573,LIBRAX,CHLORDIAZEPOXIDE HYDROCHLORIDE; CLIDINIUM BROMIDE
574,TORECAN,THIETHYLPERAZINE MALEATE
575,TORECAN,THIETHYLPERAZINE MALATE
576,PROKETAZINE,CARPHENAZINE MALEATE
577,VOSOL HC,"ACETIC ACID, GLACIAL; HYDROCORTISONE"
578,HALDRONE,PARAMETHASONE ACETATE
579,ENDURONYL,DESERPIDINE; METHYCLOTHIAZIDE
580,ENDURONYL FORTE,DESERPIDINE; METHYCLOTHIAZIDE
581,SYNALAR,FLUOCINOLONE ACETONIDE
582,QUINIDEX,QUINIDINE SULFATE
583,CORDRAN,FLURANDRENOLIDE
584,CORDRAN SP,FLURANDRENOLIDE
585,BLEPHAMIDE,PREDNISOLONE ACETATE; SULFACETAMIDE SODIUM
586,ROBINUL,GLYCOPYRROLATE
587,ROBINUL FORTE,GLYCOPYRROLATE
588,TRAVASE,SUTILAINS
589,PERSANTINE,DIPYRIDAMOLE
590,RENESE,POLYTHIAZIDE
591,WINSTROL,STANOZOLOL
592,URACIL MUSTARD,URACIL MUSTARD
593,METOPIRONE,METYRAPONE
594,NOVRAD,LEVOPROPOXYPHENE NAPSYLATE ANHYDROUS
595,DROLBAN,DROMOSTANOLONE PROPIONATE
596,ORAGRAFIN SODIUM,IPODATE SODIUM
597,ORAGRAFIN CALCIUM,IPODATE CALCIUM
598,METATENSIN #2,RESERPINE; TRICHLORMETHIAZIDE
599,METATENSIN #4,RESERPINE; TRICHLORMETHIAZIDE
600,THAM-E,POTASSIUM CHLORIDE; SODIUM CHLORIDE; TROMETHAMINE
601,THAM,TROMETHAMINE
602,TRECATOR,ETHIONAMIDE
603,PENTHRANE,METHOXYFLURANE
604,SULFABID,SULFAPHENAZOLE
605,DECA-DURABOLIN,NANDROLONE DECANOATE
606,ANHYDRON,CYCLOTHIAZIDE
607,DYRENIUM,TRIAMTERENE
608,SKELAXIN,METAXALONE
609,VALIUM,DIAZEPAM
610,HYDROMOX,QUINETHAZONE
611,AZO GANTANOL,PHENAZOPYRIDINE HYDROCHLORIDE; SULFAMETHOXAZOLE
612,CONRAY,IOTHALAMATE MEGLUMINE
613,CONRAY 43,IOTHALAMATE MEGLUMINE
614,DUO-MEDIHALER,ISOPROTERENOL HYDROCHLORIDE; PHENYLEPHRINE BITARTRATE
615,ANGIO-CONRAY,IOTHALAMATE SODIUM
616,DECADRON W/ XYLOCAINE,DEXAMETHASONE SODIUM PHOSPHATE; LIDOCAINE HYDROCHLORIDE
617,DYMELOR,ACETOHEXAMIDE
618,ALDOMET,METHYLDOPA
619,ALDOMET,METHYLDOPATE HYDROCHLORIDE
620,ALDORIL 15,HYDROCHLOROTHIAZIDE; METHYLDOPA
621,ALDORIL 25,HYDROCHLOROTHIAZIDE; METHYLDOPA
622,ALDORIL D30,HYDROCHLOROTHIAZIDE; METHYLDOPA
623,ALDORIL D50,HYDROCHLOROTHIAZIDE; METHYLDOPA
624,DEXACORT,DEXAMETHASONE SODIUM PHOSPHATE
625,NORGESIC,ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE
626,NORGESIC FORTE,ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE
627,TREST,METHIXENE HYDROCHLORIDE
628,MAXIDEX,DEXAMETHASONE
629,VALPIN 50,ANISOTROPINE METHYLBROMIDE
630,EUTONYL,PARGYLINE HYDROCHLORIDE
631,DRIXORAL,DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE
632,DECADERM,DEXAMETHASONE
633,ESIMIL,GUANETHIDINE MONOSULFATE; HYDROCHLOROTHIAZIDE
634,MUCOMYST,ACETYLCYSTEINE
635,QUIDE,PIPERACETAZINE
636,PERTOFRANE,DESIPRAMINE HYDROCHLORIDE
637,NORINYL 1+50 21-DAY,MESTRANOL; NORETHINDRONE
638,NORINYL,MESTRANOL; NORETHINDRONE
639,RENESE-R,POLYTHIAZIDE; RESERPINE
640,OSMITROL 5% IN WATER,MANNITOL
641,OSMITROL 10% IN WATER,MANNITOL
642,OSMITROL 20% IN WATER,MANNITOL
643,OSMITROL 15% IN WATER,MANNITOL
644,OSMITROL 5% IN WATER IN PLASTIC CONTAINER,MANNITOL
645,OSMITROL 10% IN WATER IN PLASTIC CONTAINER,MANNITOL
646,OSMITROL 20% IN WATER IN PLASTIC CONTAINER,MANNITOL
647,OSMITROL 15% IN WATER IN PLASTIC CONTAINER,MANNITOL
648,OXANDRIN,OXANDROLONE
649,BILOPAQUE,TYROPANOATE SODIUM
650,HYDROMOX R,QUINETHAZONE; RESERPINE
651,STOXIL,IDOXURIDINE
652,HERPLEX,IDOXURIDINE
653,CHROMITOPE SODIUM,SODIUM CHROMATE CR-51
654,MAXIBOLIN,ETHYLESTRENOL
655,ONCOVIN,VINCRISTINE SULFATE
656,PROTOPAM CHLORIDE,PRALIDOXIME CHLORIDE
657,DENDRID,IDOXURIDINE
658,NEGGRAM,NALIDIXIC ACID
659,MAOLATE,CHLORPHENESIN CARBAMATE
660,CONRAY 400,IOTHALAMATE SODIUM
661,MEPROBAMATE,MEPROBAMATE
662,DELFEN,NONOXYNOL-9
663,NEURAMATE,MEPROBAMATE
664,NORPRAMIN,DESIPRAMINE HYDROCHLORIDE
665,CELESTONE SOLUSPAN,BETAMETHASONE ACETATE; BETAMETHASONE SODIUM PHOSPHATE
666,AVENTYL HYDROCHLORIDE,NORTRIPTYLINE HYDROCHLORIDE
667,AVENTYL,NORTRIPTYLINE HYDROCHLORIDE
668,ALKERAN,MELPHALAN
669,HEXADROL,DEXAMETHASONE SODIUM PHOSPHATE
670,PRE-SATE,CHLORPHENTERMINE HYDROCHLORIDE
671,ETRAFON-A,AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
672,ETRAFON 2-25,AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
673,ETRAFON-FORTE,AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
674,ETRAFON 2-10,AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
675,TRIAVIL 2-25,AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
676,TRIAVIL 4-10,AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
677,TRIAVIL 2-10,AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
678,TRIAVIL 4-25,AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
679,TRIAVIL 4-50,AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
680,MANNITOL 20%,MANNITOL
681,MENRIUM 5-2,"CHLORDIAZEPOXIDE; ESTROGENS, ESTERIFIED"
682,MENRIUM 5-4,"CHLORDIAZEPOXIDE; ESTROGENS, ESTERIFIED"
683,MENRIUM 10-4,"CHLORDIAZEPOXIDE; ESTROGENS, ESTERIFIED"
684,CITANEST,PRILOCAINE HYDROCHLORIDE
685,CITANEST PLAIN,PRILOCAINE HYDROCHLORIDE
686,CITANEST FORTE,EPINEPHRINE BITARTRATE; PRILOCAINE HYDROCHLORIDE
687,ARALEN PHOSPHATE W/ PRIMAQUINE PHOSPHATE,CHLOROQUINE PHOSPHATE; PRIMAQUINE PHOSPHATE
688,DOPRAM,DOXAPRAM HYDROCHLORIDE
689,KENALOG-40,TRIAMCINOLONE ACETONIDE
690,KENALOG-80,TRIAMCINOLONE ACETONIDE
691,PONSTEL,MEFENAMIC ACID
692,REGROTON,CHLORTHALIDONE; RESERPINE
693,DEMI-REGROTON,CHLORTHALIDONE; RESERPINE
694,AMICAR,AMINOCAPROIC ACID
695,HIPPUTOPE,IODOHIPPURATE SODIUM I-131
696,TOLINASE,TOLAZAMIDE
697,SERAX,OXAZEPAM
698,LEVOPROME,LEVOMEPROMAZINE
699,ALUPENT,METAPROTERENOL SULFATE
700,HALDOL,HALOPERIDOL
701,HALDOL,HALOPERIDOL LACTATE
702,SULLA,SULFAMETER
703,AQUATAG,BENZTHIAZIDE
704,VIVACTIL,PROTRIPTYLINE HYDROCHLORIDE
705,ALDOCLOR-150,CHLOROTHIAZIDE; METHYLDOPA
706,ALDOCLOR-250,CHLOROTHIAZIDE; METHYLDOPA
707,SYMMETREL,AMANTADINE HYDROCHLORIDE
708,OVULEN,ETHYNODIOL DIACETATE; MESTRANOL
709,OVULEN-21,ETHYNODIOL DIACETATE; MESTRANOL
710,8-HOUR BAYER,ASPIRIN
711,MEASURIN,ASPIRIN
712,VONTROL,DIPHENIDOL HYDROCHLORIDE
713,DYAZIDE,HYDROCHLOROTHIAZIDE; TRIAMTERENE
714,EUTRON,METHYCLOTHIAZIDE; PARGYLINE HYDROCHLORIDE
715,INNOVAR,DROPERIDOL; FENTANYL CITRATE
716,BETAPAR,MEPREDNISONE
717,INDOCIN,INDOMETHACIN
718,MEPRIAM,MEPROBAMATE
719,MANNITOL 5%,MANNITOL
720,MANNITOL 10%,MANNITOL
721,MANNITOL 15%,MANNITOL
722,MANNITOL 15% W/ DEXTROSE 5% IN SODIUM CHLORIDE 0.45%,MANNITOL
723,MANNITOL 10% W/ DEXTROSE 5% IN DISTILLED WATER,MANNITOL
724,MANNITOL 5% W/ DEXTROSE 5% IN SODIUM CHLORIDE 0.12%,MANNITOL
725,ZYLOPRIM,ALLOPURINOL
726,EDECRIN,ETHACRYNIC ACID
727,EDECRIN,ETHACRYNATE SODIUM
728,MINTEZOL,THIABENDAZOLE
729,ATROMID-S,CLOFIBRATE
730,PROLIXIN ENANTHATE,FLUPHENAZINE ENANTHATE
731,TESLAC,TESTOLACTONE
732,PRIMATENE MIST,EPINEPHRINE
733,BRONITIN MIST,EPINEPHRINE BITARTRATE
734,CLOMID,CLOMIPHENE CITRATE
735,ETHAMIDE,ETHOXZOLAMIDE
736,UREX,METHENAMINE HIPPURATE
737,SYNALAR-HP,FLUOCINOLONE ACETONIDE
738,SORBITRATE,ISOSORBIDE DINITRATE
739,TALWIN,PENTAZOCINE LACTATE
740,CORTENEMA,HYDROCORTISONE
741,MIOCHOL,ACETYLCHOLINE CHLORIDE
742,ROBENGATOPE,ROSE BENGAL SODIUM I-131
743,VERCYTE,PIPOBROMAN
744,TRANMEP,MEPROBAMATE
745,DESFERAL,DEFEROXAMINE MESYLATE
746,LASIX,FUROSEMIDE
747,HYDREA,HYDROXYUREA
748,DROXIA,HYDROXYUREA
749,XYLOCAINE 1.5% W/ DEXTROSE 7.5%,LIDOCAINE HYDROCHLORIDE
750,MYAMBUTOL,ETHAMBUTOL HYDROCHLORIDE
751,VALISONE,BETAMETHASONE VALERATE
752,IMURAN,AZATHIOPRINE
753,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,SODIUM CHLORIDE
754,DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE
755,LOCORTEN,FLUMETHASONE PIVALATE
756,NEOPAP,ACETAMINOPHEN
757,HYPAQUE,DIATRIZOATE MEGLUMINE
758,HYPAQUE-CYSTO,DIATRIZOATE MEGLUMINE
759,INDERAL,PROPRANOLOL HYDROCHLORIDE
760,PROPRANOLOL HYDROCHLORIDE,PROPRANOLOL HYDROCHLORIDE
761,ARISTOSPAN,TRIAMCINOLONE HEXACETONIDE
762,SODIUM IODIDE I 131,SODIUM IODIDE I-131
763,NAVANE,THIOTHIXENE
764,TEGRETOL,CARBAMAZEPINE
765,SUBLIMAZE PRESERVATIVE FREE,FENTANYL CITRATE
766,MACRODANTIN,"NITROFURANTOIN, MACROCRYSTALLINE"
767,HMS,MEDRYSONE
768,NARCAN,NALOXONE HYDROCHLORIDE
769,QUESTRAN,CHOLESTYRAMINE
770,QUINAGLUTE,QUINIDINE GLUCONATE
771,FEMINONE,ETHINYL ESTRADIOL
772,NORINYL 1+50 28-DAY,MESTRANOL; NORETHINDRONE
773,HIPPURAN I 131,IODOHIPPURATE SODIUM I-131
774,OVRAL,ETHINYL ESTRADIOL; NORGESTREL
775,DECADRON-LA,DEXAMETHASONE ACETATE
776,DEXTROSE 5% IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE
777,LACTATED RINGER'S AND DEXTROSE 5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
778,EUTHROID-0.5,LIOTRIX (T4;T3)
779,EUTHROID-1,LIOTRIX (T4;T3)
780,EUTHROID-2,LIOTRIX (T4;T3)
781,EUTHROID-3,LIOTRIX (T4;T3)
782,LACTATED RINGER'S IN PLASTIC CONTAINER,CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
783,DEXTROSE 5% IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE
784,DEXTROSE 5% IN SODIUM CHLORIDE 0.33% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE
785,DEXTROSE 5% IN SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE
786,SODIUM LACTATE 0.167 MOLAR IN PLASTIC CONTAINER,SODIUM LACTATE
787,RINGER'S IN PLASTIC CONTAINER,CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
788,DEXTROSE 10% IN PLASTIC CONTAINER,DEXTROSE
789,DEXTROSE 5% IN RINGER'S IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
790,DEXTROSE 10% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE
791,DEXTROSE 2.5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE
792,RESECTISOL,MANNITOL
793,OVULEN-28,ETHYNODIOL DIACETATE; MESTRANOL
794,SODIUM CHROMATE CR 51,SODIUM CHROMATE CR-51
795,ORTHO-NOVUM 1/50 28,MESTRANOL; NORETHINDRONE
796,ORTHO-NOVUM 1/80 21,MESTRANOL; NORETHINDRONE
797,ORTHO-NOVUM 1/80 28,MESTRANOL; NORETHINDRONE
798,TRAVERT 10% IN PLASTIC CONTAINER,INVERT SUGAR
799,DALMANE,FLURAZEPAM HYDROCHLORIDE
800,NORLESTRIN 28 1/50,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
801,NORINYL 1+80 21-DAY,MESTRANOL; NORETHINDRONE
802,NORINYL 1+80 28-DAY,MESTRANOL; NORETHINDRONE
803,PROLIXIN DECANOATE,FLUPHENAZINE DECANOATE
804,FERROUS CITRATE FE 59,"FERROUS CITRATE, FE-59"
805,TALWIN 50,PENTAZOCINE HYDROCHLORIDE
806,STERILE WATER IN PLASTIC CONTAINER,STERILE WATER FOR IRRIGATION
807,SORBITOL 3.3% IN PLASTIC CONTAINER,SORBITOL
808,NORLESTRIN 21 1/50,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
809,CORTROSYN,COSYNTROPIN
810,DIAPID,LYPRESSIN
811,NAVANE,THIOTHIXENE HYDROCHLORIDE
812,SULFAMYLON,MAFENIDE ACETATE
813,FLUOROPLEX,FLUOROURACIL
814,NORLESTRIN FE 1/50,ETHINYL ESTRADIOL; FERROUS FUMARATE; NORETHINDRONE ACETATE
815,ESTROVIS,QUINESTROL
816,URISPAS,FLAVOXATE HYDROCHLORIDE
817,RESECTISOL IN PLASTIC CONTAINER,MANNITOL
818,SERENTIL,MESORIDAZINE BESYLATE
819,LITHONATE,LITHIUM CARBONATE
820,VASCORAY,IOTHALAMATE MEGLUMINE; IOTHALAMATE SODIUM
821,GLYCINE 1.5% IN PLASTIC CONTAINER,GLYCINE
822,MATULANE,PROCARBAZINE HYDROCHLORIDE
823,SURMONTIL,TRIMIPRAMINE MALEATE
824,CYTARABINE,CYTARABINE
825,INAPSINE,DROPERIDOL
826,SINEQUAN,DOXEPIN HYDROCHLORIDE
827,XYLOCAINE PRESERVATIVE FREE,LIDOCAINE HYDROCHLORIDE
828,BRONKAID MIST,EPINEPHRINE
829,OVRAL-28,ETHINYL ESTRADIOL; NORGESTREL
830,THYROLAR-0.25,LIOTRIX (T4;T3)
831,THYROLAR-2,LIOTRIX (T4;T3)
832,THYROLAR-3,LIOTRIX (T4;T3)
833,THYROLAR-1,LIOTRIX (T4;T3)
834,THYROLAR-0.5,LIOTRIX (T4;T3)
835,THYROLAR-5,LIOTRIX (T4;T3)
836,TRICLOS,TRICLOFOS SODIUM
837,KETALAR,KETAMINE HYDROCHLORIDE
838,VAPO-ISO,ISOPROTERENOL HYDROCHLORIDE
839,NORISODRINE AEROTROL,ISOPROTERENOL HYDROCHLORIDE
840,EMETE-CON,BENZQUINAMIDE HYDROCHLORIDE
841,FREAMINE 8.5%,AMINO ACIDS
842,FREAMINE II 8.5%,AMINO ACIDS
843,FREAMINE III 3% W/ ELECTROLYTES,AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
844,FREAMINE III 8.5%,AMINO ACIDS
845,FREAMINE III 10%,AMINO ACIDS
846,FREAMINE HBC 6.9%,AMINO ACIDS
847,FREAMINE III 8.5% W/ ELECTROLYTES,AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM ACETATE; POTASSIUM CHLORIDE; SODIUM ACETATE
848,DARVON-N W/ ASA,ASPIRIN; PROPOXYPHENE NAPSYLATE
849,EFUDEX,FLUOROURACIL
850,CYLERT,PEMOLINE
851,LITHIUM CARBONATE,LITHIUM CARBONATE
852,DARVOCET,ACETAMINOPHEN; PROPOXYPHENE HYDROCHLORIDE
853,ISOPAQUE 440,CALCIUM METRIZOATE; MEGLUMINE METRIZOATE; METRIZOATE MAGNESIUM; METRIZOATE SODIUM
854,ANADROL-50,OXYMETHOLONE
855,FML,FLUOROMETHOLONE
856,NORLESTRIN 21 2.5/50,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
857,NORLESTRIN FE 2.5/50,ETHINYL ESTRADIOL; FERROUS FUMARATE; NORETHINDRONE ACETATE
858,ESKALITH,LITHIUM CARBONATE
859,DARVON-N,PROPOXYPHENE NAPSYLATE
860,LYSODREN,MITOTANE
861,TALWIN COMPOUND,ASPIRIN; PENTAZOCINE HYDROCHLORIDE
862,LIDEX,FLUOCINONIDE
863,LIDEX-E,FLUOCINONIDE
864,LARODOPA,LEVODOPA
865,DOPAR,LEVODOPA
866,RETIN-A,TRETINOIN
867,TESULOID,TECHNETIUM TC-99M SULFUR COLLOID KIT
868,DEMULEN 1/50-21,ETHINYL ESTRADIOL; ETHYNODIOL DIACETATE
869,FUDR,FLOXURIDINE
870,R-GENE 10,ARGININE HYDROCHLORIDE
871,DEMULEN 1/50-28,ETHINYL ESTRADIOL; ETHYNODIOL DIACETATE
872,HALOTEX,HALOPROGIN
873,BENDOPA,LEVODOPA
874,LIMBITROL,AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE
875,LIMBITROL DS,AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE
876,MICRONOR,NORETHINDRONE
877,MARCAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE
878,MARCAINE HYDROCHLORIDE W/ EPINEPHRINE,BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE
879,MARCAINE HYDROCHLORIDE PRESERVATIVE FREE,BUPIVACAINE HYDROCHLORIDE
880,MARCAINE HYDROCHLORIDE W/ EPINEPHRINE PRESERVATIVE FREE,BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE
881,MIOSTAT,CARBACHOL
882,MEGACE,MEGESTROL ACETATE
883,LITHOTABS,LITHIUM CARBONATE
884,CONRAY 30,IOTHALAMATE MEGLUMINE
885,DOXEPIN HYDROCHLORIDE,DOXEPIN HYDROCHLORIDE
886,INTAL,CROMOLYN SODIUM
887,HYPERSTAT,DIAZOXIDE
888,UTICORT,BETAMETHASONE BENZOATE
889,ANCOBON,FLUCYTOSINE
890,DESONIDE,DESONIDE
891,PRED FORTE,PREDNISOLONE ACETATE
892,SODIUM CHLORIDE,SODIUM CHLORIDE
893,PAVULON,PANCURONIUM BROMIDE
