,Drug,Recommendation,Rationale,Creatinine Clearance,Condition
123,Chlorpropamide,Avoid,Prolonged half-life in older adults; can cause prolonged hypoglycemia; causes SIADH,,
124,Glimepiride,Avoid,Higher risk of severe prolonged hypoglycemia in older adults,,
125,Glibenclamide,Avoid,Higher risk of severe prolonged hypoglycemia in older adults,,
126,Glyburide,Avoid,Higher risk of severe prolonged hypoglycemia in older adults,,
127,Metoclopramide,Avoid unless used for gastroparesis (use not to exceed 12 weeks),"Can cause extrapyramidal effects, including tardive dyskinesia; risk may be greater in frail older adults and with prolonged exposure",,
128,Mineral oil (oral),Avoid,Potential for aspiration and adverse effects; safer alternatives available,,
129,Omeprazole,"Avoid scheduled use for >8 weeks unless for high-risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2-receptor antagonists)",Risk of Clostridium difficile infection and bone loss and fractures,,
130,Lansoprazole,"Avoid scheduled use for >8 weeks unless for high-risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2-receptor antagonists)",Risk of Clostridium difficile infection and bone loss and fractures,,
131,Pantoprazole,"Avoid scheduled use for >8 weeks unless for high-risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2-receptor antagonists)",Risk of Clostridium difficile infection and bone loss and fractures,,
132,Rabeprazole,"Avoid scheduled use for >8 weeks unless for high-risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2-receptor antagonists)",Risk of Clostridium difficile infection and bone loss and fractures,,
133,Esomeprazole,"Avoid scheduled use for >8 weeks unless for high-risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2-receptor antagonists)",Risk of Clostridium difficile infection and bone loss and fractures,,
134,Dexlansoprazole,"Avoid scheduled use for >8 weeks unless for high-risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2-receptor antagonists)",Risk of Clostridium difficile infection and bone loss and fractures,,
135,Meperidine,Avoid,"Oral analgesic not effective in dosages commonly used; may have higher risk of neurotoxicity, including delirium, than other opioids; safer alternatives available",,
136,Aspirin (>325 mg/day),"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related",,
137,Diclofenac,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related",,
138,Diflunisal,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related",,
139,Etodolac,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related",,
140,Fenoprofen,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related",,
141,Ibuprofen,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related",,
142,Ketoprofen,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton-pump inhibitor or misoprostol)","Increased risk of gastrointestinal bleeding or peptic ulcer disease in high-risk groups, including those >75 years or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper gastrointestinal ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3-6 months and in ~2%-4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose related",,
